#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
470000,-2298782.0295323674,310.5899496214392,48.6
480000,-2298005.088827012,309.6399905116692,48.6
490000,-2297983.4560891967,309.764303700879,48.6
500000,-2296904.7827638667,309.35235983253017,48.6
510000,-2299523.795196455,310.1565561704068,48.6
520000,-2295360.4148535803,310.45518718383414,48.6
530000,-2299381.701959951,311.6175710580586,48.6
540000,-2297889.653785402,309.24214145979687,48.6
550000,-2297040.9950541146,309.073270833298,48.6
560000,-2297273.4847598094,310.6330397323743,48.6
570000,-2297428.20335328,308.3075374830713,48.6
580000,-2297170.751246946,310.2638364862019,48.6
590000,-2295167.9570168555,310.2854593225475,48.6
600000,-2297901.496613253,311.3672008538564,48.6
610000,-2298022.199283093,310.2360315096224,48.6
620000,-2296535.7059015185,309.8708529355161,48.6
630000,-2294477.0359713472,311.10971786483606,48.6
640000,-2297269.6291745156,309.44712350564447,48.6
650000,-2296847.643030729,309.2514167089668,48.6
660000,-2296487.6451583896,309.4828453973311,48.6
670000,-2299141.4283391014,310.75953446588835,48.6
680000,-2296220.7657717057,309.6290636493573,48.6
690000,-2297125.874703331,310.2040881767938,48.5
700000,-2298523.333923312,310.39980259980814,48.6
710000,-2298401.604443269,311.0620746200087,48.6
720000,-2298533.244072482,311.29457561146967,48.6
730000,-2298439.3470964897,310.1844139631878,48.6
740000,-2296056.258759916,311.81931587310675,48.6
750000,-2296990.13682596,310.0687474081692,48.5
760000,-2296098.8048115037,309.75527445921546,48.5
770000,-2296777.7328848224,311.12650234246684,48.5
780000,-2297282.739297781,310.9573146520839,48.5
790000,-2294614.467084119,310.4035543079691,48.5
800000,-2297598.019393008,310.0595134100408,48.5
810000,-2296191.5654569753,309.7471796056866,48.5
820000,-2294533.682716489,309.3207985454958,48.5
830000,-2300288.582527498,309.2257694987929,48.5
840000,-2298494.052722741,309.3364630581636,48.5
850000,-2298018.052731432,309.8228296338192,48.5
860000,-2293942.6523275077,311.4122539173234,48.5
870000,-2292598.256547909,310.5684373988776,48.5
880000,-2297551.3876479566,309.76361652159494,48.5
890000,-2298375.8421435896,311.8069188665192,48.5
900000,-2297869.015495984,309.91972621051076,48.5
910000,-2295949.610111583,310.0523485833044,48.5
920000,-2297816.490543714,309.6373163763018,48.5
930000,-2297304.5310678743,310.57961524279,48.5
940000,-2296425.157933587,310.80427118586687,48.5
950000,-2296336.17340748,311.26316574546547,48.5
960000,-2294752.8096772637,310.6566885257142,48.5
970000,-2300675.410236744,311.6399904138673,48.5
980000,-2297193.1379639264,309.5985224785839,48.5
990000,-2299410.235104639,309.7393722697563,48.5
1000000,-2297827.624793239,309.87866893253675,48.5
1010000,-2297043.7634420805,310.7843458796566,48.5
1020000,-2297607.6568848602,310.05615933803546,48.5
1030000,-2294965.071793681,310.685163644452,48.5
1040000,-2296226.4627867006,310.3021740426494,48.5
1050000,-2298159.8392654452,309.8074054235834,48.5
1060000,-2295633.651115397,310.8237494065745,48.5
1070000,-2301162.7867277414,310.453351186807,48.5
1080000,-2298697.8315140028,311.67254015574946,48.5
1090000,-2295599.0901128836,310.6245540598586,48.5
1100000,-2296989.6455837023,312.5361157922787,48.5
1110000,-2296539.433217343,309.5112015472236,48.5
1120000,-2299535.4189602286,309.2879068468093,48.5
1130000,-2297513.143950425,310.15756215689953,48.5
1140000,-2296547.159469191,309.54892276747637,48.5
1150000,-2295499.7327569947,310.6589675557092,48.5
1160000,-2296248.712135982,310.10787382233565,48.5
1170000,-2295743.8101065215,309.88016098942467,48.5
1180000,-2297294.5651549287,309.2474490085472,48.5
1190000,-2295806.714517975,308.69115156320896,48.5
1200000,-2296235.5215856526,311.28641169616446,48.5
1210000,-2296573.1828376297,310.0429216775799,48.5
1220000,-2296283.394912649,310.13297341480984,48.5
1230000,-2297907.185424121,309.71238672161553,48.5
1240000,-2296512.787045587,310.22232692318954,48.5
1250000,-2299148.4173238017,311.1994566054506,48.5
1260000,-2295943.657862384,309.36563006863355,48.5
1270000,-2297272.4647828937,309.85171625468143,48.5
1280000,-2296726.088921724,310.52183806912245,48.5
1290000,-2297372.570934033,309.517291632695,48.5
1300000,-2298602.4084677994,311.6039736555356,48.5
1310000,-2296644.344284408,312.9227926875297,48.5
1320000,-2296795.8924228493,310.8052386229858,48.5
1330000,-2295427.5401825104,310.63413524158653,48.5
1340000,-2294614.550698299,310.71055648164185,48.5
1350000,-2296227.588080764,309.51871208829573,48.5
1360000,-2296965.896957284,310.77934797994476,48.5
1370000,-2295092.88351414,311.81170223585076,48.5
1380000,-2295787.2201926056,309.88043380216607,48.5
1390000,-2294778.0609282646,310.3991152507847,48.5
1400000,-2297964.787350813,310.5732394107138,48.5
1410000,-2295801.375015946,310.7137843252489,48.5
1420000,-2297904.8717793096,309.73015419048664,48.5
1430000,-2297470.1208941806,309.17614672572853,48.5
1440000,-2295639.3707401417,312.25245195809885,48.5
1450000,-2297391.648196457,310.33471813171553,48.5
1460000,-2297566.2514068373,311.5442523517417,48.5
1470000,-2297822.743570905,309.7421689267038,48.5
1480000,-2299044.6314377263,309.0906685777952,48.5
1490000,-2299068.923271248,310.50256227210014,48.5
1500000,-2296542.367034266,311.21187469193575,48.5
1510000,-2293906.011393111,311.1134392277771,48.5
1520000,-2297716.976560289,308.99692879649604,48.5
1530000,-2297680.0400765818,311.286146117808,48.5
1540000,-2298604.4145093653,311.1935599066792,48.5
1550000,-2297799.5296035036,311.3004726515017,48.5
1560000,-2296822.1499945763,309.23250550573266,48.5
1570000,-2296622.491410723,310.6889504446531,48.5
1580000,-2298631.008855058,311.1068899290289,48.5
1590000,-2299756.1717127915,310.9570276760458,48.5
1600000,-2296693.4949209485,310.2101977335754,48.5
1610000,-2297719.952055987,310.10671021872,48.5
1620000,-2298974.785672676,309.9253992281124,48.5
1630000,-2298878.658116471,309.9552465190016,48.5
1640000,-2296633.107536247,310.160130234992,48.5
1650000,-2292656.352271363,309.92583318738895,48.5
1660000,-2297211.2375829294,312.07488930410824,48.5
1670000,-2298712.268960515,309.9259980835643,48.5
1680000,-2297829.9968387485,310.9339886981312,48.5
1690000,-2299644.7720840555,310.3359745271985,48.5
1700000,-2298128.993736256,309.27410182994277,48.5
1710000,-2299612.098223077,310.07195396942706,48.5
1720000,-2293989.055830626,311.09604284650834,48.5
1730000,-2296550.946616588,310.4854748325514,48.5
1740000,-2298388.3410982527,310.84717977273215,48.5
1750000,-2298297.7162283696,310.99441806084934,48.5
1760000,-2294011.966838822,310.2994443504142,48.5
1770000,-2298823.1713910084,310.13791294827126,48.5
1780000,-2299074.9863855056,309.83151048632226,48.5
1790000,-2294370.1575016286,310.3095871400955,48.5
1800000,-2298505.747537194,310.4647699529193,48.5
1810000,-2297079.429413438,309.99347816432584,48.5
1820000,-2298752.88679735,310.4739554793362,48.5
1830000,-2296042.022654768,310.37601906776524,48.5
1840000,-2297538.816320719,310.47434910666556,48.5
1850000,-2297683.8252488095,311.2936206228125,48.5
1860000,-2300105.495490387,310.78061785683894,48.5
1870000,-2298979.7595765423,311.12511904847827,48.5
1880000,-2297663.208370898,311.74067876795874,48.5
1890000,-2296513.458025219,311.27145439567596,48.5
1900000,-2297541.800547056,310.6194909149123,48.5
1910000,-2298692.5214171484,310.8072645730273,48.5
1920000,-2297232.6074455976,308.8278645265094,48.5
1930000,-2296429.497119708,310.88569702125795,48.5
1940000,-2294808.799486229,311.6847615913611,48.5
1950000,-2299706.857731197,311.5833608859914,48.5
1960000,-2299044.4511768,312.0730671706516,48.5
1970000,-2299586.8936163336,310.7069284935431,48.5
1980000,-2297690.696007656,308.2136922294611,48.5
1990000,-2296622.5707108397,309.9391416852341,48.5
2000000,-2297492.506154448,309.7583873606125,48.5
2010000,-2297282.8526646122,310.99637043493254,48.5
2020000,-2295912.8109863866,310.3614885132128,48.5
2030000,-2296769.5245627314,309.7304147409931,48.5
2040000,-2295584.842923498,310.5383416737486,48.5
2050000,-2295407.5547154266,310.61616620246673,48.5
2060000,-2299077.546510564,311.49444908895407,48.5
2070000,-2295479.3111802377,310.5245430534566,48.5
2080000,-2297389.4003110286,310.4555381948895,48.5
2090000,-2295513.2901643086,310.7894880217177,48.5
2100000,-2299213.9971259106,310.056400253041,48.5
2110000,-2296770.791385431,310.4722701740968,48.5
2120000,-2296875.1471872777,309.39525206400197,48.5
2130000,-2296684.9924440663,311.2321584174411,48.5
2140000,-2298564.785321476,312.49633020026994,48.5
2150000,-2300067.182546964,311.96109006429657,48.5
2160000,-2297217.4192045145,310.4710785960708,48.5
2170000,-2301890.4142752066,309.6132884300879,48.5
2180000,-2298859.0214850437,309.2289232261483,48.5
2190000,-2294727.4405402876,310.5582630845875,48.5
2200000,-2298044.0586224813,310.1459662015388,48.5
2210000,-2296690.921766557,309.9548691240998,48.5
2220000,-2295410.9627042487,310.6416311291871,48.5
2230000,-2295205.806513265,310.5984170659719,48.5
2240000,-2297255.9573724438,312.61314590155814,48.5
2250000,-2299283.656027537,309.72499991869137,48.5
2260000,-2298043.36062344,310.6041172716184,48.5
2270000,-2297937.789737541,309.48689601911104,48.5
2280000,-2297930.9997365717,309.9154536295243,48.5
2290000,-2295737.8026927393,309.9260550762818,48.5
2300000,-2295613.927611487,310.461322456713,48.5
2310000,-2296575.017749762,309.1317384898884,48.5
2320000,-2298170.2610224504,310.80692312486246,48.5
2330000,-2298429.817518998,310.82859977763223,48.5
2340000,-2300270.173329165,310.157129579639,48.5
2350000,-2298224.4174081273,309.91369080095825,48.5
2360000,-2295700.711970398,310.295178797346,48.5
2370000,-2297367.8882167507,310.05166256563206,48.5
2380000,-2297379.7419423815,309.4987664021368,48.5
2390000,-2297636.717503939,309.57477585737325,48.5
2400000,-2298132.4277129453,312.47720035469405,48.5
2410000,-2296409.347982947,310.10775889291733,48.5
2420000,-2299656.2084451225,310.78101457396025,48.5
2430000,-2296075.600448236,310.6345755558997,48.5
2440000,-2296933.1711342707,310.4287652781317,48.5
2450000,-2296066.0616439283,311.8785912606536,48.5
2460000,-2298335.38409343,313.08650112502374,48.5
2470000,-2297401.259376848,309.29952538434185,48.5
2480000,-2297285.311643239,309.6823859722819,48.5
2490000,-2296856.0951462556,310.5765294233259,48.5
2500000,-2296126.3276160695,310.74787964649397,48.5
2510000,-2296605.2949935086,311.40583582381873,48.5
2520000,-2295431.099527087,311.11609619022454,48.5
2530000,-2299482.768192878,310.0346722145079,48.5
2540000,-2295475.8057091422,310.21758608354946,48.5
2550000,-2297381.4779475406,311.76681483754714,48.5
2560000,-2300087.4487182572,308.6309360464863,48.5
2570000,-2295849.41806018,309.9183455191471,48.5
2580000,-2297122.790262712,310.7668801317259,48.5
2590000,-2299456.755716985,309.761386080199,48.5
2600000,-2296960.3654055223,309.6374497433726,48.5
2610000,-2293736.315612413,309.4967087799638,48.5
2620000,-2297247.6705130674,310.24180483061383,48.5
2630000,-2296505.6724314746,310.31695347597173,48.5
2640000,-2297151.909508234,310.6972910379858,48.5
2650000,-2299075.7541140914,309.75039099245686,48.5
2660000,-2296068.2821070254,308.68429952004993,48.5
2670000,-2296897.677065635,310.7098575234411,48.5
2680000,-2297202.8088420555,311.6154721580169,48.5
2690000,-2296935.308425771,311.40912320550353,48.5
2700000,-2296506.2592232153,309.60690324103683,48.5
2710000,-2296142.7837786824,311.72570007356495,48.5
2720000,-2298511.1262933966,308.9171352626757,48.5
2730000,-2296635.7955255657,308.1523105061117,48.5
2740000,-2296963.649331441,309.9721622355201,48.5
2750000,-2296357.6692644693,311.39169095591086,48.5
2760000,-2296445.7527014334,310.3490406382889,48.5
2770000,-2299175.112241879,311.9234879886144,48.5
2780000,-2296391.5841020886,311.95010664411745,48.5
2790000,-2297278.037466351,311.0569140500921,48.5
2800000,-2299742.292221479,309.8809071616075,48.5
2810000,-2297701.5457289126,310.28684404072425,48.5
2820000,-2297914.5077225473,310.2189331300417,48.5
2830000,-2294653.9585864767,309.05452980715637,48.6
2840000,-2295787.993045872,309.89480463549194,48.6
2850000,-2296514.704682868,310.519308689407,48.6
2860000,-2297565.5378485546,309.76337541412187,48.6
2870000,-2299130.0812165476,309.71420066993807,48.6
2880000,-2297715.8540093396,310.09307848467114,48.6
2890000,-2298091.7537160683,308.95084355820234,48.6
2900000,-2298363.3484396767,310.7746051487943,48.6
2910000,-2297598.207099531,309.6963488939082,48.6
2920000,-2296519.279308073,308.79928090476375,48.6
2930000,-2297077.5336492155,310.17441048565814,48.6
2940000,-2298472.506173771,309.60858418360294,48.6
2950000,-2298734.3647941314,310.23032856399834,48.6
2960000,-2297407.378020037,309.76235611872164,48.6
2970000,-2299607.3651257195,310.04090592886155,48.6
2980000,-2300717.8150256295,311.3722465944979,48.6
2990000,-2300172.4623658247,310.86622021872,48.6
3000000,-2296968.438925715,309.5891456834732,48.6
3010000,-2298962.7966490276,310.40136778576186,48.6
3020000,-2299608.78841508,309.524154082381,48.6
3030000,-2297523.1178222727,311.47568898583063,48.6
3040000,-2297607.0980661754,311.58288994551833,48.6
3050000,-2294382.845519455,309.47801296607577,48.6
3060000,-2298443.0969291814,309.0095486613478,48.6
3070000,-2298224.580365639,310.4342959967966,48.6
3080000,-2299647.105088532,310.4202300772452,48.6
3090000,-2295839.2693633083,309.47059438208623,48.6
3100000,-2297692.406528039,309.7402232669933,48.6
3110000,-2297539.428643368,310.7042414279151,48.6
3120000,-2297248.364508014,310.8437850831441,48.6
3130000,-2298776.8739163,310.7230980643751,48.6
3140000,-2296843.0238583535,310.72153998130466,48.6
3150000,-2297723.375787398,310.4878878358543,48.6
3160000,-2294436.91261857,310.5407306818068,48.6
3170000,-2295172.3457827736,309.8256093996337,48.6
3180000,-2297357.59718485,309.51107736338787,48.6
3190000,-2298822.6575208306,310.5767330711742,48.6
3200000,-2296321.837060539,310.81141293278625,48.6
3210000,-2296965.237026334,309.8244469783258,48.6
3220000,-2299811.4598869476,309.3075949568978,48.6
3230000,-2298085.753043605,308.32496756111146,48.6
3240000,-2296524.853065893,309.57389637829135,48.6
3250000,-2297859.9885049276,310.0591901514736,48.6
3260000,-2297178.8017619457,309.7164334454453,48.6
3270000,-2299307.0665753298,310.0709518560804,48.6
3280000,-2299957.1030640826,309.81615017130764,48.6
3290000,-2295156.394463405,309.29335884701067,48.6
3300000,-2297703.758717034,309.939435362362,48.6
3310000,-2295167.6846796945,310.598037423266,48.6
3320000,-2297215.7759652827,311.6236000213687,48.6
3330000,-2298586.962314265,309.8831265057005,48.6
3340000,-2297472.507946279,309.536098449681,48.6
3350000,-2296630.0204202924,309.0679437685046,48.6
3360000,-2298060.0748271514,309.3444505356133,48.6
3370000,-2293972.5199279524,309.75070907711404,48.6
3380000,-2299320.68723318,310.1764385479713,48.6
3390000,-2297772.7650684137,311.2106530865346,48.6
3400000,-2299458.4864827245,308.5668262985133,48.6
3410000,-2298094.0874535292,310.49555540745877,48.6
3420000,-2299232.30311206,311.70229389745936,48.6
3430000,-2300480.524791604,312.33895265941374,48.6
3440000,-2297848.7372865546,309.341837854344,48.6
3450000,-2296394.067657629,309.75504059147136,48.6
3460000,-2299485.005980868,310.80560842861337,48.6
3470000,-2296962.646736931,308.9396747021881,48.6
3480000,-2298630.1406517476,310.12002371537824,48.6
3490000,-2298163.0734746754,309.0543796384548,48.6
3500000,-2296424.5665434618,309.74995474708936,48.6
3510000,-2298828.052637009,310.59352647532285,48.6
3520000,-2296534.156620702,311.3932422766632,48.6
3530000,-2297914.353366468,309.70487590265327,48.6
3540000,-2296518.3036763594,309.5918426583702,48.6
3550000,-2296284.1641132124,310.4421459689479,48.6
3560000,-2299576.66688513,310.7466069634668,48.6
3570000,-2296980.748736568,308.0318771711727,48.6
3580000,-2299850.4800285622,309.3358913509304,48.6
3590000,-2296240.5276695825,309.0444217723885,48.6
3600000,-2295297.0564288124,311.5353782866229,48.6
3610000,-2295044.5232251603,310.33045887797806,48.6
3620000,-2297783.9180105496,310.248384971406,48.6
3630000,-2299238.34688738,310.69101660472467,48.6
3640000,-2298623.248241946,310.0832906657906,48.6
3650000,-2296448.819201367,310.17681888388637,48.6
3660000,-2297433.2782779075,310.19999478983493,48.6
3670000,-2296505.801105518,312.508401212993,48.6
3680000,-2296724.9030566756,311.05577333218105,48.6
3690000,-2298554.6891819127,311.1244943101636,48.6
3700000,-2296033.507022405,310.7540610497609,48.6
3710000,-2297019.998092683,311.45713981051176,48.6
3720000,-2299722.5681429934,310.28269701722417,48.6
3730000,-2298352.2711699363,311.8235127410473,48.6
3740000,-2297454.0825201944,311.73442314519724,48.6
3750000,-2297968.8395015504,310.6517005039206,48.6
3760000,-2296735.804983299,310.0584071233619,48.6
3770000,-2297978.1764238067,310.2216551470236,48.6
3780000,-2301077.0620206855,309.8278291677441,48.6
3790000,-2299306.3488486893,309.59069762565395,48.6
3800000,-2292367.606947638,308.9950503597411,48.6
3810000,-2299736.0797521863,311.1358132200768,48.6
3820000,-2298896.733311437,311.1372875741449,48.6
3830000,-2301053.1883758698,310.2623071229636,48.6
3840000,-2296633.5806519333,310.8678479472736,48.6
3850000,-2297966.8976911493,310.74596789269856,48.6
3860000,-2298483.373773178,309.71957769149736,48.6
3870000,-2297191.8383844364,311.6410241928825,48.6
3880000,-2296911.636264302,310.4453419800548,48.6
3890000,-2296286.5163445137,309.03671100842087,48.6
3900000,-2299072.0876754355,311.0077832713888,48.6
3910000,-2298018.7263950463,310.7463949701412,48.6
3920000,-2296696.961888423,310.6711551633293,48.6
3930000,-2299081.979238881,309.7608110392631,48.6
3940000,-2300120.294946585,310.56629488040653,48.6
3950000,-2296995.509217728,309.2406916651137,48.6
3960000,-2296928.51116514,309.8072045376597,48.6
3970000,-2296134.6285140626,311.6508708487157,48.6
3980000,-2295847.9477859493,311.34440727466864,48.6
3990000,-2296426.667532876,309.18480289553213,48.6
4000000,-2296364.631288316,311.3256638430327,48.6
4010000,-2296910.3144536074,310.0688589310834,48.6
4020000,-2297950.7236926164,310.4136111347346,48.6
4030000,-2297069.8787129913,311.0499313859117,48.6
4040000,-2297753.44753791,311.17946557783347,48.6
4050000,-2295623.3737645,310.30687495545675,48.6
4060000,-2295830.7657699697,309.71690977761097,48.6
4070000,-2299234.6236948837,309.75346975137455,48.5
4080000,-2295560.4080233127,311.7547223094981,48.6
4090000,-2299009.8621504977,309.45863543525206,48.5
4100000,-2295931.0939206015,310.9248712833681,48.5
4110000,-2297187.748220673,311.326521538859,48.5
4120000,-2297041.775588261,310.8300657519837,48.5
4130000,-2298419.319215564,310.3456895670906,48.5
4140000,-2297634.7572781276,310.1038206307798,48.5
4150000,-2300280.822062731,310.55260807815966,48.5
4160000,-2301276.476814896,310.28942309320763,48.5
4170000,-2299653.170578312,310.1773074908207,48.5
4180000,-2295514.5830782745,310.8169288623055,48.5
4190000,-2300645.7579791676,309.79039540444256,48.6
4200000,-2299444.2531393208,311.0310152194064,48.5
4210000,-2297315.986983074,309.16014804132294,48.5
4220000,-2298400.875017645,309.62639115479755,48.5
4230000,-2299970.25782899,310.1685187977123,48.5
4240000,-2298747.255618656,311.351357573469,48.5
4250000,-2297142.665816415,309.57951816479084,48.5
4260000,-2297513.9658855703,310.66770551564844,48.5
4270000,-2295675.1489400584,310.4951368867908,48.5
4280000,-2294960.7223614864,310.9017621463867,48.5
4290000,-2297614.3031426016,309.40841492636565,48.5
4300000,-2295332.6671021227,312.3928721572592,48.5
4310000,-2296155.66979352,312.2347245091822,48.5
4320000,-2297858.331301477,310.51412736635416,48.5
4330000,-2296977.2143050376,310.98553329197597,48.5
4340000,-2295206.1015205886,310.75320073402673,48.5
4350000,-2298014.689932665,310.53942950205857,48.5
4360000,-2297507.1161646843,311.76176834327583,48.5
4370000,-2296550.3633895963,309.97901205680495,48.5
4380000,-2297041.7633354235,308.7003303317451,48.5
4390000,-2297995.7948956806,310.8036156306796,48.5
4400000,-2300060.739922313,309.92707490638355,48.5
4410000,-2294775.5480579715,311.2902029626398,48.5
4420000,-2294593.6919526104,309.9313907299985,48.5
4430000,-2298575.483724678,311.14980644754024,48.5
4440000,-2300350.5942385606,309.73744704010636,48.5
4450000,-2299114.7384145055,309.74950732187875,48.5
4460000,-2298679.0959346276,310.8968014807525,48.5
4470000,-2296293.9058263786,310.16348035500056,48.5
4480000,-2299559.117497312,310.9417049662046,48.5
4490000,-2297446.258005772,309.00681689816884,48.5
4500000,-2296377.898789635,309.905157767401,48.5
4510000,-2298854.460005183,309.3155987895236,48.5
4520000,-2295288.6951234583,309.9351763539898,48.5
4530000,-2298221.60933757,310.51971726951695,48.5
4540000,-2297952.7278649416,312.5390539820702,48.5
4550000,-2295362.5381402243,310.6591119237573,48.5
4560000,-2298898.996491531,309.9166763833573,48.5
4570000,-2295154.624148557,309.4227115695502,48.5
4580000,-2296461.3394201845,309.91870809930106,48.5
4590000,-2295822.6966578625,309.65039450346853,48.5
4600000,-2298789.47310587,309.293777205687,48.5
4610000,-2295954.8716600444,309.8653049965892,48.5
4620000,-2296370.9216794334,309.6327899516087,48.5
4630000,-2297188.47549179,310.62913872323026,48.5
4640000,-2296034.934618417,310.1174106234702,48.5
4650000,-2298922.419708034,309.7590140584453,48.5
4660000,-2297759.06819769,309.3066599790129,48.5
4670000,-2296263.5795441177,311.7802571698212,48.5
4680000,-2295702.9992796555,308.73147242117204,48.5
4690000,-2299376.6336146686,311.0131467865489,48.5
4700000,-2298386.860058047,309.2530146971939,48.5
4710000,-2297711.101635119,311.2181804492434,48.5
4720000,-2293909.0494246203,309.9568382615721,48.5
4730000,-2299749.718117183,311.2558725247716,48.5
4740000,-2296196.1321970355,310.86996266005144,48.5
4750000,-2298180.764290573,309.5357011704515,48.5
4760000,-2300053.56573518,311.2880493144651,48.5
4770000,-2295035.688927211,309.95788067535744,48.5
4780000,-2299513.5251431055,311.02849221916006,48.5
4790000,-2297512.068135055,309.71506732772366,48.5
4800000,-2295337.976519976,309.5695148632308,48.5
4810000,-2296719.740034962,307.3144457026765,48.5
4820000,-2297614.3144538198,310.4033015953812,48.5
4830000,-2298363.1933386307,309.7349727436184,48.5
4840000,-2298096.7131348774,309.8233789351793,48.5
4850000,-2297434.2146000993,309.39444298545396,48.5
4860000,-2298162.964112375,310.06643108950635,48.5
4870000,-2293449.6590778064,310.51309693768184,48.5
4880000,-2298594.565663971,310.3167455462596,48.5
4890000,-2294990.920857828,309.410629471144,48.5
4900000,-2296732.5138021167,308.7160611644858,48.5
4910000,-2296252.0364133082,311.5599374350389,48.5
4920000,-2297070.417021876,310.11606441772,48.5
4930000,-2298297.2646983117,309.20389188869626,48.5
4940000,-2294957.150357291,310.0751164523209,48.5
4950000,-2295928.86555955,309.80117112410335,48.5
4960000,-2296139.4839827586,310.804067480377,48.5
4970000,-2297019.426059136,310.6695781606064,48.5
4980000,-2294008.390083233,309.45449020687266,48.5
4990000,-2298066.325179592,311.47311523171857,48.5
5000000,-2299698.715982465,310.47785488071514,48.5
